Country;Continent;Development Status
Albania;Europe;Developing
Algeria;Africa;Developing
Angola;Africa;Developing
Argentina;South America;Developing
Armenia;Asia;Developing
Australia;Oceania;Developed
Austria;Europe;Developed
Azerbaijan;Asia;Developing
Bahamas;Caribbean;Developing
Bahrain;Asia;Developing
Bangladesh;Asia;Developing
Barbados;Caribbean;Developing
Belarus;Europe;Developing
Belgium;Europe;Developed
Belize;Central America;Developing
Benin;Africa;Developing
Bhutan;Asia;Developing
Bolivia;South America;Developing
Bosnia and Herzegovina;Europe;Developing
Botswana;Africa;Developing
Brazil;South America;Developing
Brunei;Asia;Developing
Bulgaria;Europe;Developing
Burkina Faso;Africa;Developing
Burundi;Africa;Developing
Cambodia;Asia;Developing
Cameroon;Africa;Developing
Canada;North America;Developed
Cape Verde;Africa;Developing
Central African Rep.;Africa;Developing
Chad;Africa;Developing
Chile;South America;Developing
China;Asia;Developing
Colombia;South America;Developing
Comoros;Africa;Developing
Congo;Africa;Developing
Congo Rep.;Africa;Developing
Costa Rica;Central America;Developing
Cote d'Ivoire;Africa;Developing
Croatia;Europe;Developed
Cuba;Caribbean;Developing
Cyprus;Europe;Developed
Czech Rep.;Europe;Developed
Denmark;Europe;Developed
Djibouti;Africa;Developing
Dominican Rep.;Caribbean;Developing
Ecuador;South America;Developing
Egypt;Africa;Developing
El Salvador;Central America;Developing
Equatorial Guinea;Africa;Developing
Eritrea;Africa;Developing
Estonia;Europe;Developed
Ethiopia;Africa;Developing
Fiji;Oceania;Developing
Finland;Europe;Developed
France;Europe;Developed
Gabon;Africa;Developing
Gambia;Africa;Developing
Georgia;Asia;Developing
Germany;Europe;Developed
Ghana;Africa;Developing
Greece;Europe;Developed
Guatemala;Central America;Developing
Guinea;Africa;Developing
Guinea-Bissau;Africa;Developing
Guyana;South America;Developing
Haiti;Caribbean;Developing
Honduras;Central America;Developing
Hungary;Europe;Developed
Iceland;Europe;Developed
India;Asia;Developing
Indonesia;Asia;Developing
Iran;Asia;Developing
Iraq;Asia;Developing
Ireland;Europe;Developed
Israel;Asia;Developed
Italy;Europe;Developed
Jamaica;Caribbean;Developing
Japan;Asia;Developed
Jordan;Asia;Developing
Kazakhstan;Asia;Developing
Kenya;Africa;Developing
Korea;Asia;Developed
Kyrgyzstan;Asia;Developing
Laos;Asia;Developing
Latvia;Europe;Developing
Lebanon;Asia;Developing
Lesotho;Africa;Developing
Liberia;Africa;Developing
Libya;Africa;Developing
Lithuania;Europe;Developed
Luxembourg;Europe;Developed
Macedonia;Europe;Developing
Madagascar;Africa;Developing
Malawi;Africa;Developing
Malaysia;Asia;Developing
Mali;Africa;Developing
Malta;Europe;Developed
Mauritania;Africa;Developing
Mauritius;Africa;Developing
Mexico;North America;Developing
Moldova;Europe;Developing
Mongolia;Asia;Developing
Morocco;Africa;Developing
Mozambique;Africa;Developing
Namibia;Africa;Developing
Nepal;Asia;Developing
Netherlands;Europe;Developed
New Zealand;Oceania;Developed
Nicaragua;Central America;Developing
Niger;Africa;Developing
Nigeria;Africa;Developing
Norway;Europe;Developed
Oman;Asia;Developing
Pakistan;Asia;Developing
Panama;Central America;Developing
Papua New Guinea;Oceania;Developing
Paraguay;South America;Developing
Peru;South America;Developing
Philippines;Asia;Developing
Poland;Europe;Developed
Portugal;Europe;Developed
Qatar;Asia;Developing
Romania;Europe;Developing
Russia;Europe;Developing
Rwanda;Africa;Developing
Saudi Arabia;Asia;Developing
Senegal;Africa;Developing
Sierra Leone;Africa;Developing
Singapore;Asia;Developed
Slovak Republic;Europe;Developed
Slovenia;Europe;Developed
Solomon Islands;Oceania;Developing
South Africa;Africa;Developing
Spain;Europe;Developed
Sri Lanka;Asia;Developing
Sudan;Africa;Developing
Suriname;South America;Developing
Swaziland;Africa;Developing
Sweden;Europe;Developed
Switzerland;Europe;Developed
Syria;Asia;Developing
Tajikistan;Asia;Developing
Tanzania;Africa;Developing
Thailand;Asia;Developing
Timor-Leste;Asia;Developing
Togo;Africa;Developing
Trinidad and Tobago;Caribbean;Developing
Tunisia;Africa;Developing
Turkey;Asia;Developing
Turkmenistan;Asia;Developing
Uganda;Africa;Developing
Ukraine;Europe;Developing
United Arab Emirates;Asia;Developing
United Kingdom;Europe;Developed
United States;North America;Developed
Uruguay;South America;Developing
Uzbekistan;Asia;Developing
Venezuela;South America;Developing
Vietnam;Asia;Developing
Yemen;Asia;Developing
Zambia;Africa;Developing
Zimbabwe;Africa;Developing
